groupId,hebrew,voice,russian_translation,english_translation,spanish_translation,french_translation
1,"מָה זֶה?","he-IL-Wavenet-B","Что это?","What is this?","¿Qué es esto?","Qu'est-ce que c'est ?"
1,"זֶה בַּיִת אֶחָד.","he-IL-Wavenet-B","Это один дом.","This is one house.","Esta es una casa.","C'est une maison."
2,"מִי זֶה?","he-IL-Wavenet-C","Кто это?","Who is this?","¿Quién es?","Qui est-ce ?"
2,"זֶה תַּלְמִיד אֶחָד.","he-IL-Wavenet-B","Это один ученик.","This is one student.","Este es un estudiante.","C'est un étudiant."
3,"כַּמָּה מוֹרוֹת יֵשׁ פֹּה?","he-IL-Wavenet-B","Сколько учительниц здесь?","How many teachers (f.) are here?","¿Cuántas maestras hay aquí?","Combien de professeures y a-t-il ici ?"
3,"יֵשׁ פֹּה מוֹרָה אַחַת.","he-IL-Wavenet-C","Здесь есть одна учительница.","There is one teacher (f.) here.","Hay una maestra aquí.","Il y a une professeure ici."
4,"כַּמָּה אַחִים יֵשׁ לְךָ?","he-IL-Wavenet-C","Сколько братьев у тебя (м.р.)?","How many brothers do you have (m.)?","¿Cuántos hermanos tienes?","Combien de frères as-tu ?"
4,"יֵשׁ לִי אָח אֶחָד.","he-IL-Wavenet-B","У меня есть один брат.","I have one brother.","Tengo un hermano.","J'ai un frère."
5,"מָה יֵשׁ עַל הַשֻּׁלְחָן?","he-IL-Wavenet-B","Что есть на столе?","What is on the table?","¿Qué hay en la mesa?","Qu'y a-t-il sur la table ?"
5,"יֵשׁ סֵפֶר אֶחָד עַל הַשֻּׁלְחָן.","he-IL-Wavenet-C","Есть одна книга на столе.","There is one book on the table.","Hay un libro en la mesa.","Il y a un livre sur la table."
6,"כַּמָּה שְׁאֵלוֹת יֵשׁ?","he-IL-Wavenet-C","Сколько есть вопросов?","How many questions are there?","¿Cuántas preguntas hay?","Combien de questions y a-t-il ?"
6,"יֵשׁ רַק שְׁאֵלָה אַחַת.","he-IL-Wavenet-C","Есть только один вопрос.","There is only one question.","Solo hay una pregunta.","Il n'y a qu'une seule question."
7,"מִי גָּר בַּבַּיִת הַזֶּה?","he-IL-Wavenet-B","Кто живет в этом доме?","Who lives in this house?","¿Quién vive en esta casa?","Qui habite dans cette maison ?"
7,"אָב אֶחָד גָּר פֹּה.","he-IL-Wavenet-B","Один отец живет здесь.","One father lives here.","Un padre vive aquí.","Un père habite ici."
8,"מָה אַתְּ רוֹצָה?","he-IL-Wavenet-B","Что ты (ж.р.) хочешь?","What do you (f.) want?","¿Qué quieres?","Que veux-tu ?"
8,"אֲנִי רוֹצָה עוּגָה אַחַת.","he-IL-Wavenet-C","Я хочу один торт.","I want one cake.","Quiero un pastel.","Je veux un gâteau."
9,"כַּמָּה אֲחָיוֹת יֵשׁ לָהּ?","he-IL-Wavenet-B","Сколько сестер у нее есть?","How many sisters does she have?","¿Cuántas hermanas tiene ella?","Combien de sœurs a-t-elle ?"
9,"יֵשׁ לָהּ אָחוֹת אַחַת.","he-IL-Wavenet-C","У нее есть одна сестра.","She has one sister.","Ella tiene una hermana.","Elle a une sœur."
10,"מִי שָׁר שִׁיר?","he-IL-Wavenet-C","Кто поет песню?","Who is singing a song?","¿Quién canta una canción?","Qui chante une chanson ?"
10,"אִמָּא אַחַת שָׁרָה שִׁיר אֶחָד.","he-IL-Wavenet-C","Одна мама поет одну песню.","One mother is singing one song.","Una madre canta una canción.","Une mère chante une chanson."
11,"מָה הוּא שׁוֹתֶה?","he-IL-Wavenet-C","Что он пьет?","What is he drinking?","¿Qué está bebiendo?","Qu'est-ce qu'il boit ?"
11,"הוּא שׁוֹתֶה תֵּה אֶחָד.","he-IL-Wavenet-B","Он пьет один чай.","He is drinking one tea.","Él bebe un té.","Il boit un thé."
12,"כַּמָּה חֲדָרִים בַּדִּירָה?","he-IL-Wavenet-B","Сколько комнат в квартире?","How many rooms are in the apartment?","¿Cuántas habitaciones hay en el apartamento?","Combien de pièces y a-t-il dans l'appartement ?"
12,"יֵשׁ חֶדֶר אֶחָד בַּדִּירָה.","he-IL-Wavenet-C","Есть одна комната в квартире.","There is one room in the apartment.","Hay una habitación en el apartamento.","Il y a une pièce dans l'appartement."
13,"מִי מְדַבֵּר?","he-IL-Wavenet-C","Кто говорит?","Who is speaking?","¿Quién está hablando?","Qui parle ?"
13,"תַּלְמִיד אֶחָד מְדַבֵּр.","he-IL-Wavenet-B","Один ученик говорит.","One student is speaking.","Un estudiante está hablando.","Un étudiant parle."
14,"מָה אַתָּה אוֹכֵל?","he-IL-Wavenet-C","Что ты (м.р.) ешь?","What are you (m.) eating?","¿Qué estás comiendo?","Que manges-tu ?"
14,"אֲנִי אוֹכֵל תַּפּוּחַ אֶחָד.","he-IL-Wavenet-B","Я ем одно яблоко.","I am eating one apple.","Estoy comiendo una manzana.","Je mange une pomme."
15,"מִי בָּא?","he-IL-Wavenet-B","Кто идет?","Who is coming?","¿Quién viene?","Qui vient ?"
15,"יַלְדָּה אַחַת בָּאָה.","he-IL-Wavenet-C","Одна девочка идет.","One girl is coming.","Una niña viene.","Une fille vient."
16,"הַאִם יֵשׁ לֶחֶם?","he-IL-Wavenet-B","Есть хлеб?","Is there bread?","¿Hay pan?","Y a-t-il du pain ?"
16,"כֵּן, יֵשׁ לֶחֶם אֶחָד.","he-IL-Wavenet-C","Да, есть один хлеб.","Yes, there is one bread.","Sí, hay un pan.","Oui, il y a un pain."
17,"מָה יֵשׁ בַּתִּיק?","he-IL-Wavenet-C","Что есть в сумке?","What is in the bag?","¿Qué hay en el bolso?","Qu'y a-t-il dans le sac ?"
17,"יֵשׁ שָׁם סֵפֶר אֶחָד.","he-IL-Wavenet-B","Там есть одна книга.","There is one book there.","Hay un libro allí.","Il y a un livre là-bas."
18,"כַּמָּה עוּגוֹת אַתְּ רוֹאָה?","he-IL-Wavenet-B","Сколько тортов ты (ж.р.) видишь?","How many cakes do you (f.) see?","¿Cuántos pasteles ves?","Combien de gâteaux vois-tu ?"
18,"אֲנִי רוֹאָה עוּגָה אַחַת.","he-IL-Wavenet-C","Я вижу один торт.","I see one cake.","Veo un pastel.","Je vois un gâteau."
19,"מִי כּוֹתֵב?","he-IL-Wavenet-C","Кто пишет?","Who is writing?","¿Quién está escribiendo?","Qui écrit ?"
19,"מוֹרֶה אֶחָד כּוֹתֵב.","he-IL-Wavenet-B","Один учитель пишет.","One teacher (m.) is writing.","Un maestro está escribiendo.","Un professeur écrit."
